,tweets,keywords,id_numbers,date,Stanza,TextBlob,VADER,AFINN,TweetNLP,TwitRoBERT,pysentiLM,mean,StandardDev,FinalScore
0,Tech Talk Guru Craig Peterson breaks down more barriers to a bright future of next generation nuclear power. https://t.co/nEg4rVBgHJ,nuclear power,['1663959198156062727'],,1,0.208888888888889,0.4404,0.142857142857143,0,0,-0.99999950000025,0.113163790249397,0.601158823606821,Positive
1,RT @JayinKyiv: The exact narrative you'd expect Russia to put out if they were about to blow up a Ukrainian nuclear power plant to then bla????????â¬???????,nuclear power,['1663959177247735808'],,-1,0.25,0.0,0.0,0,-1,0.0,-0.25,0.520416499866533,Negative
2,"Remember when Biden and the demonrats shut down pipelines, drilling, exploration, coal ,gas and nuclear power plants ? They're setting up the infrastructure for failure and planning to blame conservatives when they shut it ????",nuclear power,['1663959149237895183'],,-1,-0.236111111111111,-0.6966,-0.428571428571429,-1,-1,-0.999999666666778,-0.765897458049902,0.321060847239385,Negative
3,"#Constitution Can anyone explain how it's constitutional for the president to have a nuclear button?

The power supposedly resides with Congress. If they want to move it to the executive branch they need to have specific rules where the president is simply a last check.",nuclear power,['1663959054828580864'],,0,0.0,0.0772,0.142857142857143,0,0,0.0,0.0314367346938776,0.056935819492673,Neutral
4,@DaveyBiden2024 @Socialistdemmo Use the open land to make thousands of nuclear power plants,nuclear power,['1663959041012269065'],,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,Neutral
5,"???????? Rosatom offers ???????? India small-sized nuclear power plant (SNPP) project   

????Russia????????â¬???????s nuclear energy corporation plans to submit a preliminary design for such a plant by the end of this year, the company said.

Subscribe to @sputniknewsindia https://t.co/sqnMtYOfJs",nuclear power,['1663958958682394624'],,0,0.05,0.4696,0.0,0,0,0.0,0.0742285714285714,0.175335390174428,Positive
6,"RT @MonicaM444: Employees of the ZNPP have been abused long enough. Some that were ex military of ????????, or that showed a Pro-Ukrainian stance????????â¬???????",nuclear power,['1663958913035931653'],,-1,-0.05,-0.644,-0.428571428571429,-1,-1,-0.999999000001,-0.731795775510347,0.376880190955345,Negative
7,RT @JayinKyiv: Russian state media just put out the exact narrative you'd expect them to put out if they were going to blow up a nuclear po????????â¬???????,nuclear power,['1663958902138863646'],,-1,0.125,0.0,0.0,-1,-1,0.0,-0.410714285714286,0.552995091685786,Negative
8,"Just learned about nuclear Stirling generators this week.

And I must say, the prospect of unlimited power has never been more cool. https://t.co/eqvcrOqazi https://t.co/2xSTaPGtvW",nuclear power,"['1663953132626526208', '1663958844052242433']",,0,0.425,0.0055,0.285714285714286,1,1,0.0,0.388030612244898,0.448760071528052,Positive
9,"RT @Prolotario1: Cyber Attack 

Power Grid 

Mass Shootings

Virus

Nuclear Attack 

Border Invasion 

UFO Invasion 

I told you all they w????????â¬???????",nuclear power,['1663958796677570561'],,0,0.0,-0.7998,-0.571428571428571,-1,-1,0.0,-0.481604081632653,0.473042142613157,Negative
