,tweets,labels
0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,0
1,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,0
2,my whole body feels itchy and like its on fire ,0
3,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",0
4,@Kwesidei not the whole crew ,0
5,Need a hug ,0
6,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",0
7,@Tatiana_K nope they didn't have it ,0
8,@twittera que me muera ? ,0
9,spring break in plain city... it's snowing ,0
10,I just re-pierced my ears ,0
11,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,0
12,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",0
13,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",0
14,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,0
15,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,0
16,about to file taxes ,0
17,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,0
18,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,0
19,@alydesigns i was out most of the day so didn't get much done ,0
20,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",0
21,@angry_barista I baked you a cake but I ated it ,0
22,this week is not going as i had hoped ,0
23,blagh class at 8 tomorrow ,0
24,I hate when I have to call and wake people up ,0
25,Just going to cry myself to sleep after watching Marley and Me.  ,0
26,im sad now  Miss.Lilly,0
27,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,0
28,Meh... Almost Lover is the exception... this track gets me depressed every time. ,0
29,some1 hacked my account on aim  now i have to make a new one,0
30,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,0
31,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,0
32,@julieebaby awe i love you too!!!! 1 am here  i miss you,0
33,@HumpNinja I cry my asian eyes to sleep at night ,0
34,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,0
35,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,0
36,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,0
37,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,0
38,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,0
39,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,0
40,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,0
41,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",0
42,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,0
43,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,0
44,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,0
45,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",0
46,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,0
47,is strangely sad about LiLo and SamRo breaking up. ,0
48,@tea oh! i'm so sorry  i didn't think about that before retweeting.,0
49,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,0
50,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",0
51,our duck and chicken are taking wayyy too long to hatch ,0
52,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0
53,I need a hug ,0
54,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",0
55,@oanhLove I hate when that happens... ,0
56,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",0
57,Ugh....92 degrees tomorrow ,0
58,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,0
59,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",0
60,just leaving the parking lot of work! ,0
61,The Life is cool. But not for Me. ,0
62,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",0
63,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,0
64,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,0
65,Damm back to school tomorrow ,0
66,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",0
67,@katortiz  Not forever... See you soon!,0
68,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",0
69,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,0
70,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,0
71,i really hate how people diss my bands!  Trace is clearly NOT ugly!,0
72,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",0
73,Why won't you show my location?!   http://twitpic.com/2y2es,0
74,No picnic  my phone smells like citrus.,0
75,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",0
76,No new csi tonight.  FML,0
77,i think my arms are sore from tennis ,0
78,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,0
79,sleep soon... i just hate saying bye and see you tomorrow for the night. ,0
80,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",0
81,missin' the boo ,0
82,@markhardy1974 Me too  #itm,0
83,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,0
84,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",0
85,@msdrama hey missed ya at the meeting  sup mama,0
86,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",0
87,why is it always the fat ones?! ,0
88,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",0
89,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,0
90,wednesday my b-day! don't know what 2 do!! ,0
91,Poor cameron (the hills) ,0
92,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",0
93,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",0
94,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,0
95,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",0
96,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",0
97,"@stark YOU don't follow me, either  and i work for you!",0
98,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0
99, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,0
100,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0
101,Behind on my classes for work ,0
102,watching &quot;House&quot; ,0
103,@kpreyes Remember my bum leg? Strikes back this time its serious ,0
104,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",0
105,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,0
106,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,0
107,@Henkuyinepu it's overrated ,0
108,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,0
109,laying in bed with no voice.. ,0
110,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,0
111,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,0
112,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",0
113,@salancaster  hope your ok.,0
114,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,0
115,@HibaNick yeah aw but i know i wudnt stand a chance ,0
116,ugh. cant sleep. its 1:30am. ,0
117,Hanging in Crooners. Wanna sing. Can't. Sucks. ,0
118,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,0
119,Is pissed off that there's no ASBA's for a radio station. ,0
120,wednesday my b-day n don't know what 2 do!  ,0
121,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,0
122,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,0
123,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",0
124,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,0
125,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",0
126,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,0
127,I'm so cold ,0
128,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,0
129,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,0
130,Hoping the tummy rumbles go away soon ,0
131,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",0
132,almost bedtime ,0
133,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,0
134,Agh...snow!!! ,0
135,i miss kenny powers ,0
136,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",0
137,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",0
138,@JonathanRKnight I guess that's a no then. ,0
139,sadly is going to bed. ,0
140,@ozesteph1992 Shame to hear this Stephan ,0
141,@mrsaintnick hey! i'm leavin in the morning... ,0
142,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",0
143,laid around too much today... now my head hurts ,0
144,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,0
145,my nokia 1110 died..  ,0
146,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,0
147,Going to sleep. Hoping tomorrow is a better day. ,0
148,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,0
149,@onemoreproject that is lame ,0
150,I don't understand... I really don't ,0
151,HEROES just isn't doing it for me this season... ,0
152,Living not downtown sure isn't much fun.  ,0
153,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,0
154,Man Work is Hard ,0
155,"getting sick  time for some hot tea, studying, and then sleeeep",0
156,Getting eyebrows waxed. More pain ,0
157,No phantasy star yesterday  going to work...,0
158,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,0
159,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,0
160,is alone downstairs...working ,0
161,I feel bad for doing it ,0
162,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",0
163,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,0
164,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,0
165,Thanks for bursting my bubble ,0
166,Going to school soon... can't find anything to wear!! gosh it's so hard ,0
167,@marieclr I was serious  LOL,0
168,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,0
169,Crazy wind today = no birding  http://ff.im/1XTTi,0
170,currently at work.. ,0
171,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,0
172,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,0
173,i don't see the big deal with this website ,0
174,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,0
175,@ColinDeMar Far too out of the way for rail.  any other tips?,0
176,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,0
177,"Today I realized I am too good at hiding things, even I can't find it ",0
178,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",0
179,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,0
180,Check out my mug  http://www.erika-obscura.blogspot.com,0
181,Borders closed at 10 ,0
182,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,0
183,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,0
184,is watching the hill . . .and its making me sad ,0
185,So many channels.... yet so so boring... lazy day again  may have to find a hobby,0
186,@supersport I miss my buddy  ill be in NY on the 25th,0
