,tweets,FinalScore
0,Tech Talk Guru Craig Peterson breaks down more barriers to a bright future of next generation nuclear power. https://t.co/nEg4rVBgHJ,1
1,RT @JayinKyiv: The exact narrative you'd expect Russia to put out if they were about to blow up a Ukrainian nuclear power plant to then bla????????Ã¢ÂÂ¬???????,0
2,"Remember when Biden and the demonrats shut down pipelines, drilling, exploration, coal ,gas and nuclear power plants ? They're setting up the infrastructure for failure and planning to blame conservatives when they shut it ????",2
3,"#Constitution Can anyone explain how it's constitutional for the president to have a nuclear button?

The power supposedly resides with Congress. If they want to move it to the executive branch they need to have specific rules where the president is simply a last check.",0
4,@DaveyBiden2024 @Socialistdemmo Use the open land to make thousands of nuclear power plants,0
5,"???????? Rosatom offers ???????? India small-sized nuclear power plant (SNPP) project   

????Russia????????Ã¢ÂÂ¬???????s nuclear energy corporation plans to submit a preliminary design for such a plant by the end of this year, the company said.

Subscribe to @sputniknewsindia https://t.co/sqnMtYOfJs",0
6,"RT @MonicaM444: Employees of the ZNPP have been abused long enough. Some that were ex military of ????????, or that showed a Pro-Ukrainian stance????????Ã¢ÂÂ¬???????",2
7,RT @JayinKyiv: Russian state media just put out the exact narrative you'd expect them to put out if they were going to blow up a nuclear po????????Ã¢ÂÂ¬???????,2
8,"RT @Prolotario1: Cyber Attack 

Power Grid 

Mass Shootings

Virus

Nuclear Attack 

Border Invasion 

UFO Invasion 

I told you all they w????????Ã¢ÂÂ¬???????",0
9,"@MriyaReport Hun Sen is threatening Asian countries that Cambodia is also producing nuclear energy, he has announced three times. https://t.co/ZE0qe86Z8T",2
10,"@tonyannett You might want to double-check what you cite. Austria  gets 65% of their power from hydro (https://t.co/C2r6WaSbsI). Sweden as I said in our dialogue gets 74% from hydro/nuclear. The majority of Portugal's energy relies on coal, gas, and hydro. There's a transition, not rapid.",0
11,@RachelReevesMP @rodrikdani @GeorgeDibb Low density renewable energy is sufficient for domestic electricity but we would require a fleet of nuclear power stations if we want to sufficiently power commercial electricity.,0
12,"@mikoske This is why we need industrial scale energy storage solutions.
Lowering nuclear output is very sub-optimal way of solving the energy flood.",1
13,"Jared Huffman (D-CA), who is going to vote against the debt ceiling bill because of one pipeline in West Virginia, in 2014 offered an amendment to reduce funding for nuclear energy research. 
https://t.co/S2VVa2zmPn https://t.co/TLMeo5lxmf https://t.co/GUBtJnpPYC",0
14,RT @MikeHudema: France is requiring all 80 stall+ parking lots ????????Ã¢ÂÂ¬??????? both existing and new ????????Ã¢ÂÂ¬??????? to be covered by solar panels. That would add 10 n????????Ã¢ÂÂ¬???????,0
15,@Cornish_Rebel @ox_anna29 Plus they never factor in decommissioning in the costing let future generations worry about that ? We are best placed in EU for renewable energy the severn estuary tidal lagoon project for example Tidal systems could be huge with similar level of investment to Nuclear,1
16,"RT @Marian_L_Tupy: Finnish electricity price drops BELOW ZERO after the latest nuclear reactor is switched on.

That is what the world coul????????Ã¢ÂÂ¬???????",2
17,@2closetocall That????????Ã¢ÂÂ¬???????s at least one  full scale nuclear plant or multiple modular plants that could have been built to improve our energy grid. Volpe is doing amazing job chasing his lobby checks with bs math. Best part this plant was going to be built ex subsidies until VW.,1
18,"RT @johncarlbaker: ""It is shocking that the Energy Department, without even notifying the public, would undermine a decades-old, bipartisan????????Ã¢ÂÂ¬???????",2
19,"@MQMFLORIDA1   @azizabadi 
The Baloch speakers vehemently denounced Pakistan's nuclear testing in Balochistan and said that the Changhai region of Balochistan is currently experiencing the impacts of radiation as a result.#NukeAftermathInBalochistan #BalochistanIsNotALaboratory https://t.co/eOea4KggQx",0
20,"@gaborgurbacs @stats_feed It's regulated to death
In the UK.
Two possible sites have been rejected because the background natural radiation is twice the allowable levels of normal nuclear power generation.
In the meantime Scotland is paying the world's highest electricity prices
100% renewable.",2
21,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????Ã¢ÂÂ¬??????? https://t.co/oMLPrqX8lX",2
22,"@RebeccaAVelo A nuclear bomb vs. Marxist govt:
Both ensure an equitable world with shared rights and a common standard of living.

One has radiation, the other doesn't.
Otherwise they're essentially indistinguishable.",0
23,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????Ã¢ÂÂ¬??????? https://t.co/OONUrtjJGm",2
24,"@MerrillLegacy @MatthewWielicki @dorfman_p What actually happens is that living in Denver or flying exposes a person to far more radiation than does a nuclear power plant. Or, maybe driving on roads where water from fracking is dumped. https://t.co/WcGDt40NE7
https://t.co/T4FQikhb7y",2
25,@VenDetta_9800 @onlydjole your country will survive the nuclear winter radiation and you with it stupid man...the end of the world,2
26,"@ADogInASuit @ConspiracyBull1 @WarClandestine Celebrities and major corporations and a major media talking point is that one shouldnt live inside a nuclear reactor exposed to constant radiation

so do it",2
27,Joshua Luoma was awarded the DOE National Nuclear Security Administration Laboratory Residency Graduate Fellowship for his proposal on structured laser targets for advanced radiation sources.   https://t.co/tZNZfYcXho,1
28,"""The French detonated 17 nuclear bombs in Algeria beginning in 1960. The impact of that radiation continues today; radioactive dust still emanates from the Sahara, from those nuclear bombs, whose effects are absolutely indelible.""

https://t.co/2iZNmBxw90",1
29,my cat looks like she's been exposed to at least 300 hours of nuclear radiation and then maybe rat poison,2
30,"RT @WINS_org: Almost every industry today uses radiation in some way.  To benefit from these peaceful, productive uses, radioactive sources????????Ã¢ÂÂ¬???????",1
31,"RT @JunkScience: If you want to see just how badly you've been lied to about radiation and cancer risk, invest 10 hours to watch this mind-????????Ã¢ÂÂ¬???????",2
32,"RT @Cecalli_Helper: ""The nuclear radiation exposed the people of #Balochistan to several chronic diseases.  Many children were born with #d????????Ã¢ÂÂ¬???????",2
33,@billybreathes @carlosahued @ylecun ????????Ã¢ÂÂ¬???????The only reason we won????????Ã¢ÂÂ¬???????t let everyone build nuclear reactors is because NukeCorp wants all the profits.????????Ã¢ÂÂ¬??????? - some guy who died from radiation,2
34,"Oliver Stone????????Ã¢ÂÂ¬???????s ????????Ã¢ÂÂ¬???????Nuclear Now????????Ã¢ÂÂ¬??????? documents the safety of neckwear energy. Did you know that no one died in the Fukushima melt down, nor the Three mile island melt down? Minimum radiation too.",0
35,"RT @SergiyKyslytsya: Moscow is preparing a large-scale provocation to create a center of radiation danger, according to @DI_Ukraine  In the????????Ã¢ÂÂ¬???????",2
36,Nuclear radiation in the deep blue sea https://t.co/syCo75f9Ac,0
37,"@Sarmad2200 Yep, in 1986, one of the reactors at the nuclear power plant at Chernobyl, Ukraine, went out of control during a test at low-power, leading to an explosion and fire that demolished the reactor building and released large amounts of radiation. Watch Chernobyl pls, gorg show!!",1
38,@davidicke When comes the mRNA vaccine against nuclear radiation? And another one against global warming as well. Maybe they will find 2-3 fool's who are willing to take it ????,1
39,@HughBramlett Please educate yourself on nuclear winter it has nothing to do with radiation,0
40,"@MasteroftheTDS didn't they try this with the last airbender movie? THAT was a train wreck

this is more like a train wreck that crashes into a nuclear plant that results in a radiation explosion that results in millions of casualties",2
41,"RT @TravisVoltaire: ???? ???? ???? Discover Fallout Shelter Options in ""Nuclear War Survival Skills"" by Cresson H. Kearny. From expedient to undergr????????Ã¢ÂÂ¬???????",0
42,"@BenjaminLeder @onlydjole Your ignorance is outstanding, sit there and joke whilst your leaders hide in bunkers and leave you as a sitting duck come the radiation from any spark which leads to a nuclear strike...",1
43,"RT @cqcqcqdx: The Conelrad system, also known as the Control of Electromagnetic Radiation, was a national emergency system used in the Unit????????Ã¢ÂÂ¬???????",0
44,RT @minigolfgarfiel: so why the hell is this abandoned mall related to some kind of radiation/nuclear situation and why is Showfall Media f????????Ã¢ÂÂ¬???????,2
45,"@maddinhh1983 @BosMargit @AndreasThimm @Perowinger94 You are aware that radiation levels around a coal/lignite plant are higher than around a nuclear plant, because of radioactive trace elements (like radium) that are present in the coal and just go up the smoke stack after the coal has been burned?",1
46,"RT @SusannaLeeRad: Now applications for #CTMW.  Scientists in radiology, radiation oncology, and nuclear medicine seeking guidance on study????????Ã¢ÂÂ¬???????",0
47,"RT @aerospacecap: 3 ??Monitor?? satellites are integrated and are ready for the launch! 

Satellites of the Research Institute of Nuclear Phy????????Ã¢ÂÂ¬???????",1
48,"RT @dan_grey: Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily""????????Ã¢ÂÂ¬???????",0
49,"Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily"" the radiation went into the Pacific.

Nuclear in Japan is being rehabilitated increasingly quickly, leading to lower LNG demand, pushing gas prices down. https://t.co/QNUkPVSbGw",1
50,Im hoping he misspoke but Oliver stone who made a nuclear energy documentary just said MRI is one of the most severe radiation you can get on @joerogan,2
51,RT @FreeBaluchMovt: FBM is organizing a protest at Dam Square in the Netherlands on 28th May at 3 PM to raise awareness about the Pakistani????????Ã¢ÂÂ¬???????,0
52,@Call_Her_BJ @NavyVeteranWife No. I don????????Ã¢ÂÂ¬???????t need to hear a woman talk about the power of angels to dispel nuclear radiation. She isn????????Ã¢ÂÂ¬???????t grounded in physical consensual reality. Fox platforms her because she makes democrats look loony and detached from reality.,2
53,RT @minigolfgarfiel: putting this out there before the genloss finale tomorrow: There????????Ã¢ÂÂ¬???????s a sign stating they are in a nuclear fallout shelte????????Ã¢ÂÂ¬???????,0
54,"International  Atomic Energy Agency ( IAEA ) (Austria)

Nuclear regulatory Commission ( NRC) (USA)

Radiation Protection Department ( RPD) (Kuwait)",0
55,@cirnosad Alot of Americans no longer think rationally and honestly believe nuclear blasts and radiation won????????Ã¢ÂÂ¬???????t hurt them.,2
56,"RT @dorfman_p: Nuclear on an earthquake zone ...

Accidents are, by definition, accidental.

Radiation insult causes host of long-term heal????????Ã¢ÂÂ¬???????",2
57,"@GinandJetfuel @JulianMalins @Spriter99880 Once NATO setd up base and signs in Ukraine, Russian threat perception is multifold. As for nuclear...I read on Twitter about radiation from some stocks sent from a friendly European country. ISS that true?",0
58,RT @SussyMyon: Why does this bird look like it????????Ã¢ÂÂ¬???????s about to emit nuclear radiation and throw suns into my face,0
59,"RT @Marieaaow: @yasminalombaert ????????????Ã¢ÂÂ¬???????The bunker should also provide protection against radiation.????????Ã¢ÂÂ¬???????
Those filters can????????Ã¢ÂÂ¬???????t filter radiation .
So h????????Ã¢ÂÂ¬???????",0
